id,coaster_name,Location,Continent,Country
41TE25,Jupiter ,Kijima Kogen,Asia,Japan
67VP96,Kanonen,Liseberg,Europe,Sweden
71RQ34,Karacho,Erlebnispark Tripsdrill,Europe,Germany
31YT48,Katapul,Mirabilandia,Europe,Italy
60HF40,Katun ,Mirabilandia,Europe,Italy
62CE97,Kawasemi,Tobu Zoo,Asia,Japan
82CZ43,Kentucky Flyer,Kentucky Kingdom,North America,United States
99BF96,Kentucky Rumbler,Beech Bend Park,North America,United States
34ZF75,Kiddie Coaster,Lake Compounce,North America,United States
29MP38,Kiddy Hawk,Carowinds,North America,United States
33WV18,Kikkerachtbaan,Duinrell,Europe,Netherlands
87YP68,King Cobra ,Kings Island,North America,United States
43FF16,Kingda Ka,Six Flags Great Adventure,North America,United States
13TJ71,Kingdom Coaster,Dutch Wonderland,North America,United States
11EQ82,Kirnu,Linnanmäki,Europe,Finland
72OE10,Klondike Gold Mine ,Wild Waves Theme & Water Park,North America,United States
61JG62,Knightmare ,Camelot,Europe,United Kingdom
10AU91,Kondaa,Walibi Belgium,Europe,Belgium
76DZ33,Kong ,Six Flags Discovery Kingdom,North America,United States
62IR75,Kozmo's Kurves,"Elysburg, Pennsylvania, United States",North America,United States
30ZK77,Krake,Heide Park,Europe,Germany
47QZ42,Kraken ,SeaWorld Orlando,North America,United States
90BJ56,Kraken: Unleashed,SeaWorld Orlando,North America,United States
50RK29,Krampus Expedition,Nigloland,Europe,France
37XB17,Kumali,Flamingo Land,Europe,United Kingdom
77ET35,Kumba ,Busch Gardens Tampa Bay,North America,United States
50RF53,Kvasten,Gröna Lund,Europe,Sweden
34VY23,La Vibora,Six Flags Over Texas,North America,United States
57TE49,Laff Trakk,Hersheypark,North America,United States
35IW61,Le Monstre,La Ronde,North America,Canada
36UX83,Le Vampire,La Ronde,North America,Canada
40WE71,Leap-The-Dips,Lakemont Park,North America,United States
57MH79,Lech Coaster,Legendia,Europe,Poland
71MJ76,Lego Technic Test Track,Legoland California,North America,United States
47EG14,Lego Technic Test Track,Legoland Deutschland,Europe,Germany
